hotel,fold,Naive_ME,Naive_MAE,Naive_RMSE,Naive_MAPE,Seasonal_ME,Seasonal_MAE,Seasonal_RMSE,Seasonal_MAPE,ETS_ME,ETS_MAE,ETS_RMSE,ETS_MAPE,ARIMA_ME,ARIMA_MAE,ARIMA_RMSE,ARIMA_MAPE,LGBM_ME,LGBM_MAE,LGBM_RMSE,LGBM_MAPE,NBEATS_ME,NBEATS_MAE,NBEATS_RMSE,NBEATS_MAPE,NHITS_ME,NHITS_MAE,NHITS_RMSE,NHITS_MAPE
hotel_0,1,-0.14462081128747792,0.14462081128747792,0.2133236982604383,0.22193884218156446,-0.1322751322751323,0.13824447157780492,0.20515489709111495,0.21270856269825103,-0.10910110408160602,0.1296380517573483,0.17648367690713257,0.19251096326840833,-0.41373258779441974,0.41373258779441974,0.47098499031606317,0.5621168925994071,,,,,,,,,,,,
hotel_0,2,-0.20078686745353408,0.20729887396554061,0.2776669611179409,0.39266556870442204,-0.22547822547822544,0.22547822547822544,0.29601352219025157,0.4215982071492542,-0.007996528966126378,0.13937039223727343,0.17520937750571897,0.24052794566959443,-0.0020441009741620788,0.16986823825629696,0.19761386942659942,0.2810590552042126,,,,,,,,,,,,
hotel_0,3,0.48012481345814684,0.48012481345814684,0.5368346682461623,0.6209360534880524,-0.27296160629493954,0.27296160629493954,0.3635652115423869,0.596058722155569,0.49043359554495675,0.49050035346013154,0.5412236760115353,0.6505967687252144,0.18587127099454648,0.2529793889754927,0.30229041738191836,0.33453943334134406,,,,,,,,,,,,
hotel_0,4,-0.1982091982091982,0.19875186541853207,0.27641247854766327,0.36178266651082147,0.4314204314204314,0.4327770994437661,0.4724833972629307,0.510714427494061,-0.1060242397246277,0.15278556119500916,0.20585652535128332,0.27003521079341797,0.1273073120174752,0.20329817760786742,0.23054847748444826,0.2700359319330841,,,,,,,,,,,,
hotel_0,5,-0.288698955365622,0.2895129561796228,0.34398386621744964,0.5498689073630627,-0.30104463437796775,0.30158730158730157,0.35440892381043,0.5689675434303757,-0.18723025207808086,0.20520615425228786,0.24496463826499773,0.38831460320286015,-0.1668408856358046,0.19960642171550133,0.2497387729279455,0.3908918132023832,,,,,,,,,,,,
hotel_105,1,0.043126684636118566,0.11002833644343078,0.1289935942674072,0.1335135034737595,-0.12039532794249776,0.1313152256548483,0.171097841671667,0.18273559790286148,0.11869558958165215,0.13453136115839298,0.1601370567992531,0.15472466346263175,0.05741457040863054,0.11409690142927624,0.1344678844419813,0.1362036837801959,,,,,,,,,,,,
hotel_105,2,0.19144377634943682,0.19959914299536952,0.21445151476225907,0.21022925652654254,-0.003524777109682779,0.07319095998341281,0.09670137917613793,0.08820623211840309,0.244032909986883,0.2473449980123629,0.26669516690270123,0.26249176082317266,-0.08405530303883488,0.09731494550768212,0.13084394775105668,0.11677697546438014,,,,,,,,,,,,
hotel_105,3,-0.2671228142926256,0.2671228142926256,0.3378550130432092,0.5016005322240555,-0.2545441979404243,0.25606469002695414,0.3280002448595861,0.48434583416203497,-0.2519705990032176,0.25312695063434903,0.32212140861824656,0.4758990093259479,-0.3276231698802702,0.32795667973813153,0.3985822984058883,0.5975217235435342,,,,,,,,,,,,
hotel_105,4,-0.275692860598521,0.2774898057916926,0.32611832498180743,0.488562704374916,0.09537632179141618,0.16241620015204924,0.1986032508857899,0.22088999549637572,-0.21873119612398742,0.2287389406005465,0.26571322466325875,0.39706328584597117,-0.18486112968306254,0.20951615853404537,0.25363000225108956,0.37435738749776487,,,,,,,,,,,,
hotel_105,5,0.10532863363052038,0.14817886515999723,0.16408458388543296,0.16385624511751087,0.07388209275001725,0.13083143271822514,0.14590474027770806,0.14857827108652422,0.18818185863628495,0.19415199336913125,0.22368609276022497,0.20445207975444624,0.13725920939917569,0.16848981799687732,0.18646543488111175,0.18269614433869336,,,,,,,,,,,,
hotel_112,1,-0.004739010989011011,0.08083791208791209,0.10175528511802497,0.09900496649135838,0.007760989010989055,0.08427197802197803,0.10194073167642695,0.1014455263279406,-0.05843207333717127,0.08065694970898567,0.11739003537776128,0.10369082796870753,-0.04289785299182995,0.07817643783670274,0.1104324875974087,0.10018033492922156,,,,,,,,,,,,
hotel_112,2,0.23495879120879115,0.23646978021978018,0.25054456486524807,0.2511992385045072,-0.040041208791208836,0.06545329670329673,0.09576139002062013,0.07976131631799427,0.062322579054336455,0.09667698523838361,0.11061061877254445,0.10562094704708783,0.04937068039197755,0.08779364951852257,0.09995304140825616,0.09664673221910737,,,,,,,,,,,,
hotel_112,3,-0.1262362637362638,0.1303571428571429,0.18081726477789187,0.18272176979962834,0.09251373626373624,0.13853021978021976,0.159116562171079,0.1604431385876924,-0.058594813541343015,0.1046549904408192,0.13929908726496606,0.14347314126191812,-0.05115934181643102,0.10637836133631841,0.13942887403873017,0.14520819880771865,,,,,,,,,,,,
hotel_112,4,0.32884615384615384,0.32994505494505494,0.3515285011032705,0.37387564834185555,0.3038461538461538,0.3059065934065934,0.3282605358485915,0.34554509193049693,0.17620880784729145,0.19469085454785967,0.21574988198456338,0.22083585503103462,0.11974932781231959,0.15228338097320998,0.17089283245630868,0.17644155180620627,,,,,,,,,,,,
hotel_112,5,0.10109890109890113,0.11936813186813187,0.14586505411163092,0.13074135800956702,0.03859890109890113,0.09601648351648352,0.11200670236028903,0.11026222414400162,-0.026842413930273493,0.08955477164029528,0.10506436496168638,0.11076637959505825,-0.04093626042148264,0.09463537761269193,0.11248545502613903,0.11877430246328777,,,,,,,,,,,,
hotel_126,1,-0.024736219955343478,0.0499540300337113,0.0877100776650529,0.06133091504864393,-0.032704347445383315,0.04741473665776454,0.09028151243836598,0.05922075021385025,0.07676649560407846,0.10836971236865882,0.12749707447408862,0.11346698339304051,0.024071613282399876,0.07609405836765278,0.08765633516832894,0.0852087114751504,,,,,,,,,,,,
hotel_126,2,-0.03266056652510835,0.0330108138873079,0.08199010404275402,0.043261086164961035,-0.03266056652510835,0.0330108138873079,0.08199010404275402,0.043261086164961035,0.0019464047678399545,0.054615094119381556,0.0772358268343254,0.06292842183999214,-0.026653652872760118,0.030189307510564794,0.07976860450696538,0.040168128000410024,,,,,,,,,,,,
hotel_126,3,-0.05096099120003504,0.059804737095573754,0.11036378929362844,0.07907507411763043,-0.0429928637099952,0.05962961341447398,0.10691833188534411,0.07825459820887092,-0.03212052294795492,0.061019324917061434,0.10459663173368387,0.07887673792971558,-0.041964343324733866,0.059678174814515525,0.10648693461360939,0.07821842450821002,,,,,,,,,,,,
hotel_126,4,-0.08208922551552034,0.09513593975745369,0.1543094728922263,0.13319846836723437,-0.010376078105161736,0.11002145265093473,0.1310741602123896,0.13891091189489727,-0.04245107043050757,0.09482911144425285,0.13401204037116324,0.1260584232976172,-0.06376451351080797,0.0961023398464867,0.14533493824304464,0.13169488551611483,,,,,,,,,,,,
hotel_126,5,-0.017293463508602946,0.020095442406199374,0.040295550891768894,0.021995146619659848,-0.013309399763583028,0.019263604920975435,0.03875316327236551,0.021075679068222126,0.033295881845481726,0.04878237163821798,0.0630819576679293,0.05015699370390856,-0.0045179486709981415,0.020033789067867028,0.03661599183597009,0.021662271767944326,,,,,,,,,,,,
hotel_133,1,-0.17600432354530718,0.17600432354530718,0.23222648412170274,0.26548970856733206,-0.17600432354530718,0.17600432354530718,0.23222648412170274,0.26548970856733206,-0.07544134773488133,0.11285904258368339,0.15752336861906333,0.17152374445717006,-0.19873542861633475,0.2135283473413995,0.2542678455659,0.30438637095109905,,,,,,,,,,,,
hotel_133,2,-0.08034588362457215,0.08034588362457215,0.11965497886818383,0.09967312500879218,-0.04755899837867048,0.06665465681859124,0.1006166550791399,0.08277998105546241,0.009151738835188073,0.07131748711841984,0.08849294477626332,0.08180695396465333,-0.10267917292267412,0.11477347949003873,0.1470582137932856,0.13579219509178952,,,,,,,,,,,,
hotel_133,3,-0.15438659700954785,0.17672491442983246,0.21681038316915643,0.27780547153517504,-0.23635381012430187,0.23635381012430187,0.28113100944940683,0.36722792545965405,-0.10270543360632339,0.13099734968151774,0.16911148522103028,0.20678445022209577,-0.24396782793774643,0.24884314517640024,0.29515918052638607,0.3846948684538802,,,,,,,,,,,,
hotel_133,4,-0.1691587101423167,0.1958205728697532,0.2424181289138729,0.3450006537823561,0.09313637182489637,0.1655557557196901,0.19704381179269786,0.22916853527683226,-0.13226088688730378,0.16924553288271119,0.21574249849755373,0.2970844084352947,-0.02177858590065102,0.14483499425446683,0.17534936450040003,0.23513189666514178,,,,,,,,,,,,
hotel_133,5,-0.05242298684921633,0.07692307692307691,0.10899949481845116,0.0950929767158348,-0.06881642947216716,0.07998558818230948,0.1177642614963564,0.09987104728412334,-0.009472007825161062,0.06562083183405583,0.08157378384853303,0.07637903604721671,0.022274933832610325,0.08492871231895681,0.09787019968450297,0.09642439602638662,,,,,,,,,,,,
hotel_14,1,0.008500933029234969,0.12544059713871036,0.14725033284208622,0.18883949179677584,-0.2179141613103877,0.21812150114036905,0.26286303726341465,0.3592072778911568,0.08716656443295565,0.1354622931324096,0.15723353371966628,0.1812157232317399,-0.006063533256959003,0.1246910056814118,0.14716295632779855,0.1915989644050257,,,,,,,,,,,,
hotel_14,2,0.04416338378602535,0.10284055567074439,0.12290836849726422,0.13482030794661348,-0.19168567281774826,0.19168567281774826,0.22338186977196778,0.2804379858181014,0.0843444907487936,0.11071510049590352,0.12591289809203646,0.14140136503563014,0.07565863440444993,0.11455242068351897,0.13737590752395795,0.14513567528773577,,,,,,,,,,,,
hotel_14,3,-0.11652498444951277,0.13808832676757207,0.1763158593101529,0.23053522859989148,-0.18256272029856938,0.1854654779183081,0.22547362836068463,0.30477925453715476,-0.10239725560642898,0.11754347163103177,0.15168136714940528,0.19230380897165508,-0.03788073872112369,0.10936126508337415,0.13512034419508914,0.17443860680930443,,,,,,,,,,,,
hotel_14,4,-0.11590296495956874,0.1347708894878706,0.17402112341341483,0.21646689583103265,0.101078167115903,0.1431681526021149,0.16451945166197934,0.18824552277531043,-0.06188945953448063,0.0995278287644725,0.12259200490698026,0.15146351941787944,0.014598716917004415,0.10454422975741787,0.13050384997274642,0.15281158577284493,,,,,,,,,,,,
hotel_14,5,-0.023636740617872656,0.11217084801990464,0.13701123588172912,0.18889450825340764,-0.12741032552353312,0.14544889073190964,0.18559842213988484,0.26190693314213775,0.03962831941995208,0.10467874870994619,0.12361590804417157,0.15645938521349,-0.04763664030964851,0.11845318105512066,0.1463933266028138,0.20467411631903315,,,,,,,,,,,,
hotel_21,1,-0.008801383801383832,0.017450142450142453,0.039621017972730536,0.019653756687342826,-0.02269027269027267,0.02330077330077329,0.0448018881648431,0.025865708288445328,-0.015156367961730798,0.01871128578599374,0.041497905949186814,0.021063593057705346,-0.01516076516076513,0.018713073658128576,0.04149951214937405,0.021065496705739505,,,,,,,,,,,,
hotel_21,2,-0.06710419210419206,0.08084045584045585,0.15011837910083187,0.1286489639861094,-0.09488196988196987,0.09508547008547008,0.16442367029898036,0.1469655916005993,-0.07752232375149795,0.08381494711015854,0.15470392713318856,0.13295593410465953,-0.07646659806334649,0.08326183330208936,0.15462787159321745,0.13241780674509354,,,,,,,,,,,,
hotel_21,3,0.4424094424094424,0.4424094424094424,0.45616240506764993,0.4940461002992117,0.08592796092796097,0.12316849816849819,0.14050494487136816,0.14108181903434613,0.4368754575404544,0.4368754575404544,0.4502634914000111,0.48818404716018865,0.4161922245520192,0.4161922245520192,0.4310414371745359,0.46331991696542824,,,,,,,,,,,,
hotel_21,4,-0.020553520553520537,0.02207977207977207,0.043174128088793604,0.02431935759177664,0.09055759055759051,0.09411884411884407,0.09819488447307106,0.09561491748126612,-0.014617688256990342,0.02905088743015773,0.03988188373084418,0.030729213714243094,0.07458995364199668,0.08038701650854677,0.085006359616591,0.08185153978312158,,,,,,,,,,,,
