hotel,Naive,SeasonalNaive,ETS,ARIMA,LightGBM
hotel_0,"[np.float64(0.8271604938271605), np.float64(0.8271604938271605), np.float64(0.8271604938271605), np.float64(0.8271604938271605), np.float64(0.8271604938271605), np.float64(0.8271604938271605), np.float64(0.8271604938271605), np.float64(0.8271604938271605), np.float64(0.8271604938271605), np.float64(0.8271604938271605), np.float64(0.8271604938271605), np.float64(0.8271604938271605), np.float64(0.8271604938271605), np.float64(0.8271604938271605), np.float64(0.8271604938271605), np.float64(0.8271604938271605), np.float64(0.8271604938271605), np.float64(0.8271604938271605), np.float64(0.8271604938271605), np.float64(0.8271604938271605), np.float64(0.8271604938271605), np.float64(0.8271604938271605), np.float64(0.8271604938271605), np.float64(0.8271604938271605), np.float64(0.8271604938271605), np.float64(0.8271604938271605), np.float64(0.8271604938271605), np.float64(0.8271604938271605)]","[np.float64(0.9506172839506173), np.float64(0.5061728395061729), np.float64(0.5802469135802469), np.float64(0.691358024691358), np.float64(0.654320987654321), np.float64(0.7160493827160493), np.float64(0.8271604938271605), np.float64(0.9506172839506173), np.float64(0.5061728395061729), np.float64(0.5802469135802469), np.float64(0.691358024691358), np.float64(0.654320987654321), np.float64(0.7160493827160493), np.float64(0.8271604938271605), np.float64(0.9506172839506173), np.float64(0.5061728395061729), np.float64(0.5802469135802469), np.float64(0.691358024691358), np.float64(0.654320987654321), np.float64(0.7160493827160493), np.float64(0.8271604938271605), np.float64(0.9506172839506173), np.float64(0.5061728395061729), np.float64(0.5802469135802469), np.float64(0.691358024691358), np.float64(0.654320987654321), np.float64(0.7160493827160493), np.float64(0.8271604938271605), np.float64(0.9506172839506173), np.float64(0.5061728395061729), np.float64(0.5802469135802469), np.float64(0.691358024691358), np.float64(0.654320987654321), np.float64(0.7160493827160493), np.float64(0.8271604938271605)]","[0.8542002171862775, 0.6258887772485338, 0.6466666000710888, 0.6839896656640166, 0.6812325870362248, 0.7182355754828911, 0.8220192023642633, 0.8542002171862775, 0.6258887772485338, 0.6466666000710888, 0.6839896656640166, 0.6812325870362248, 0.7182355754828911, 0.8220192023642633, 0.8542002171862775, 0.6258887772485338, 0.6466666000710888, 0.6839896656640166, 0.6812325870362248, 0.7182355754828911, 0.8220192023642633, 0.8542002171862775, 0.6258887772485338, 0.6466666000710888, 0.6839896656640166, 0.6812325870362248, 0.7182355754828911, 0.8220192023642633]","[0.8894995990534879, 0.6525592801429422, 0.6464262955626798, 0.7191560445500734, 0.7016716496331491, 0.7304071227372064, 0.7759894710696807, 0.8238722128073007, 0.6538732154285476, 0.666945845697229, 0.7136211342470848, 0.7001372858194339, 0.7222699280857443, 0.7601621404026678, 0.7887313318411449, 0.6839832894658016, 0.686991010373236, 0.7173302995570762, 0.7092908499467994, 0.7224877560458105, 0.7443358004916296, 0.7636046528836785, 0.6941036845451936, 0.6977937145414845, 0.7173934246500844, 0.7119688584980944, 0.720872887779435, 0.7358726980163879]",
hotel_105,"[np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0)]","[np.float64(0.9874213836477987), np.float64(0.9937106918238994), np.float64(1.0188679245283019), np.float64(1.0314465408805031), np.float64(1.0440251572327044), np.float64(1.0062893081761006), np.float64(1.0), np.float64(0.9874213836477987), np.float64(0.9937106918238994), np.float64(1.0188679245283019), np.float64(1.0314465408805031), np.float64(1.0440251572327044), np.float64(1.0062893081761006), np.float64(1.0), np.float64(0.9874213836477987), np.float64(0.9937106918238994), np.float64(1.0188679245283019), np.float64(1.0314465408805031), np.float64(1.0440251572327044), np.float64(1.0062893081761006), np.float64(1.0), np.float64(0.9874213836477987), np.float64(0.9937106918238994), np.float64(1.0188679245283019), np.float64(1.0314465408805031), np.float64(1.0440251572327044), np.float64(1.0062893081761006), np.float64(1.0), np.float64(0.9874213836477987), np.float64(0.9937106918238994), np.float64(1.0188679245283019), np.float64(1.0314465408805031), np.float64(1.0440251572327044), np.float64(1.0062893081761006), np.float64(1.0)]","[1.0476449387846933, 0.9616544656744862, 1.0073316004594441, 1.0373367269875087, 1.039713682926658, 0.9883744022494184, 1.0078429181655375, 1.0476449387846933, 0.9616544656744862, 1.0073316004594441, 1.0373367269875087, 1.039713682926658, 0.9883744022494184, 1.0078429181655375, 1.0476449387846933, 0.9616544656744862, 1.0073316004594441, 1.0373367269875087, 1.039713682926658, 0.9883744022494184, 1.0078429181655375, 1.0476449387846933, 0.9616544656744862, 1.0073316004594441, 1.0373367269875087, 1.039713682926658, 0.9883744022494184, 1.0078429181655375]","[0.9858242225962766, 0.9937180425997397, 1.0068732332877202, 1.0099754377931087, 1.013415186349758, 1.011108367066726, 0.988456055769161, 0.982561539715282, 0.9870102646398383, 0.9989562391585967, 1.0036422677279804, 1.0085414267754, 0.9970115025353516, 0.9869462228491361, 0.9808669776135654, 0.9849372226118231, 0.9932990925810391, 0.996111407137309, 0.9991056562791129, 0.9943769303482233, 0.9843886294327853, 0.9806614398256657, 0.9836481282914438, 0.990365522993021, 0.9929557678407583, 0.9956748191311162, 0.9908445746915224, 0.9844836393102114]",
hotel_112,"[np.float64(0.96875), np.float64(0.96875), np.float64(0.96875), np.float64(0.96875), np.float64(0.96875), np.float64(0.96875), np.float64(0.96875), np.float64(0.96875), np.float64(0.96875), np.float64(0.96875), np.float64(0.96875), np.float64(0.96875), np.float64(0.96875), np.float64(0.96875), np.float64(0.96875), np.float64(0.96875), np.float64(0.96875), np.float64(0.96875), np.float64(0.96875), np.float64(0.96875), np.float64(0.96875), np.float64(0.96875), np.float64(0.96875), np.float64(0.96875), np.float64(0.96875), np.float64(0.96875), np.float64(0.96875), np.float64(0.96875)]","[np.float64(0.75625), np.float64(0.7625), np.float64(0.76875), np.float64(0.8625), np.float64(0.89375), np.float64(1.0), np.float64(0.96875), np.float64(0.75625), np.float64(0.7625), np.float64(0.76875), np.float64(0.8625), np.float64(0.89375), np.float64(1.0), np.float64(0.96875), np.float64(0.75625), np.float64(0.7625), np.float64(0.76875), np.float64(0.8625), np.float64(0.89375), np.float64(1.0), np.float64(0.96875), np.float64(0.75625), np.float64(0.7625), np.float64(0.76875), np.float64(0.8625), np.float64(0.89375), np.float64(1.0), np.float64(0.96875), np.float64(0.75625), np.float64(0.7625), np.float64(0.76875), np.float64(0.8625), np.float64(0.89375), np.float64(1.0), np.float64(0.96875)]","[0.903436796126748, 0.8684008104548067, 0.9192479376233321, 0.925340831381696, 0.9466445839515321, 0.9375921024302498, 0.8993846268135793, 0.903436796126748, 0.8684008104548067, 0.9192479376233321, 0.925340831381696, 0.9466445839515321, 0.9375921024302498, 0.8993846268135793, 0.903436796126748, 0.8684008104548067, 0.9192479376233321, 0.925340831381696, 0.9466445839515321, 0.9375921024302498, 0.8993846268135793, 0.903436796126748, 0.8684008104548067, 0.9192479376233321, 0.925340831381696, 0.9466445839515321, 0.9375921024302498, 0.8993846268135793]","[0.9282027722244105, 0.8991028633345858, 0.900878544935652, 0.9110678566876766, 0.8977945977216957, 0.9137525848250179, 0.8575393324770401, 0.8561083820584019, 0.8535285868890743, 0.8536831084753365, 0.8722295926201861, 0.8767118623569202, 0.8985793206356159, 0.8875799338575979, 0.8790361394891419, 0.8727661529224973, 0.8729292192541099, 0.8762318738860845, 0.8738053971535522, 0.8785780850147905, 0.8664387435764419, 0.8654400420686776, 0.8643995708568899, 0.8644093501669349, 0.8683394388044463, 0.8690275221482799, 0.8737439934282576, 0.8706030375816532]",
hotel_126,"[np.float64(0.9880478087649402), np.float64(0.9880478087649402), np.float64(0.9880478087649402), np.float64(0.9880478087649402), np.float64(0.9880478087649402), np.float64(0.9880478087649402), np.float64(0.9880478087649402), np.float64(0.9880478087649402), np.float64(0.9880478087649402), np.float64(0.9880478087649402), np.float64(0.9880478087649402), np.float64(0.9880478087649402), np.float64(0.9880478087649402), np.float64(0.9880478087649402), np.float64(0.9880478087649402), np.float64(0.9880478087649402), np.float64(0.9880478087649402), np.float64(0.9880478087649402), np.float64(0.9880478087649402), np.float64(0.9880478087649402), np.float64(0.9880478087649402), np.float64(0.9880478087649402), np.float64(0.9880478087649402), np.float64(0.9880478087649402), np.float64(0.9880478087649402), np.float64(0.9880478087649402), np.float64(0.9880478087649402), np.float64(0.9880478087649402)]","[np.float64(1.00398406374502), np.float64(1.00398406374502), np.float64(1.00398406374502), np.float64(0.9840637450199203), np.float64(1.00398406374502), np.float64(1.00398406374502), np.float64(0.9880478087649402), np.float64(1.00398406374502), np.float64(1.00398406374502), np.float64(1.00398406374502), np.float64(0.9840637450199203), np.float64(1.00398406374502), np.float64(1.00398406374502), np.float64(0.9880478087649402), np.float64(1.00398406374502), np.float64(1.00398406374502), np.float64(1.00398406374502), np.float64(0.9840637450199203), np.float64(1.00398406374502), np.float64(1.00398406374502), np.float64(0.9880478087649402), np.float64(1.00398406374502), np.float64(1.00398406374502), np.float64(1.00398406374502), np.float64(0.9840637450199203), np.float64(1.00398406374502), np.float64(1.00398406374502), np.float64(0.9880478087649402), np.float64(1.00398406374502), np.float64(1.00398406374502), np.float64(1.00398406374502), np.float64(0.9840637450199203), np.float64(1.00398406374502), np.float64(1.00398406374502), np.float64(0.9880478087649402)]","[1.0118542902214969, 0.9755733507879766, 0.9547851651323187, 0.9503407261310395, 0.9556024267785894, 0.9474217750469447, 0.9941662514370858, 1.0118542902214969, 0.9755733507879766, 0.9547851651323187, 0.9503407261310395, 0.9556024267785894, 0.9474217750469447, 0.9941662514370858, 1.0118542902214969, 0.9755733507879766, 0.9547851651323187, 0.9503407261310395, 0.9556024267785894, 0.9474217750469447, 0.9941662514370858, 1.0118542902214969, 0.9755733507879766, 0.9547851651323187, 0.9503407261310395, 0.9556024267785894, 0.9474217750469447, 0.9941662514370858]","[0.9901987417586503, 0.9946131490617062, 0.995570164493363, 0.9965797375995307, 1.0041308271292602, 0.9922139156884402, 1.0024646823316317, 1.0009458816194343, 1.0012958835799768, 1.0008145127774328, 0.9987395759014942, 1.0038066136842452, 0.9950782132540352, 1.000927952612009, 1.0005880290029774, 1.0009734764805434, 1.001315313577863, 0.9995637823034397, 1.0044007198523093, 0.9965696880001591, 1.0020587396057903, 1.001397647642006, 1.0019304450049247, 1.0019218022890797, 1.0006230497993103, 1.0044968753298529, 0.9980578475418991, 1.002521838608536]",
hotel_133,"[np.float64(0.9672131147540983), np.float64(0.9672131147540983), np.float64(0.9672131147540983), np.float64(0.9672131147540983), np.float64(0.9672131147540983), np.float64(0.9672131147540983), np.float64(0.9672131147540983), np.float64(0.9672131147540983), np.float64(0.9672131147540983), np.float64(0.9672131147540983), np.float64(0.9672131147540983), np.float64(0.9672131147540983), np.float64(0.9672131147540983), np.float64(0.9672131147540983), np.float64(0.9672131147540983), np.float64(0.9672131147540983), np.float64(0.9672131147540983), np.float64(0.9672131147540983), np.float64(0.9672131147540983), np.float64(0.9672131147540983), np.float64(0.9672131147540983), np.float64(0.9672131147540983), np.float64(0.9672131147540983), np.float64(0.9672131147540983), np.float64(0.9672131147540983), np.float64(0.9672131147540983), np.float64(0.9672131147540983), np.float64(0.9672131147540983)]","[np.float64(1.0163934426229508), np.float64(0.8852459016393442), np.float64(0.9836065573770492), np.float64(0.9836065573770492), np.float64(0.9508196721311475), np.float64(0.9180327868852459), np.float64(0.9672131147540983), np.float64(1.0163934426229508), np.float64(0.8852459016393442), np.float64(0.9836065573770492), np.float64(0.9836065573770492), np.float64(0.9508196721311475), np.float64(0.9180327868852459), np.float64(0.9672131147540983), np.float64(1.0163934426229508), np.float64(0.8852459016393442), np.float64(0.9836065573770492), np.float64(0.9836065573770492), np.float64(0.9508196721311475), np.float64(0.9180327868852459), np.float64(0.9672131147540983), np.float64(1.0163934426229508), np.float64(0.8852459016393442), np.float64(0.9836065573770492), np.float64(0.9836065573770492), np.float64(0.9508196721311475), np.float64(0.9180327868852459), np.float64(0.9672131147540983), np.float64(1.0163934426229508), np.float64(0.8852459016393442), np.float64(0.9836065573770492), np.float64(0.9836065573770492), np.float64(0.9508196721311475), np.float64(0.9180327868852459), np.float64(0.9672131147540983)]","[1.007238888108479, 0.831348347201812, 0.8643379747698856, 0.8804703322953393, 0.896270505707802, 0.9099525050890617, 0.9772698975852595, 1.007238888108479, 0.831348347201812, 0.8643379747698856, 0.8804703322953393, 0.896270505707802, 0.9099525050890617, 0.9772698975852595, 1.007238888108479, 0.831348347201812, 0.8643379747698856, 0.8804703322953393, 0.896270505707802, 0.9099525050890617, 0.9772698975852595, 1.007238888108479, 0.831348347201812, 0.8643379747698856, 0.8804703322953393, 0.896270505707802, 0.9099525050890617, 0.9772698975852595]","[0.9868188746797321, 0.9083265961004361, 0.9377195853945228, 0.9477289863208709, 0.9394805050030357, 0.9378063819777247, 0.9735702252512781, 0.9930570217655679, 0.9129199112537629, 0.9465599510889808, 0.9546221981031332, 0.9446941317087508, 0.9400372375712349, 0.9739579190643392, 0.9917513632801953, 0.9185377709848492, 0.9489105902299111, 0.9564666394209936, 0.9475338485568561, 0.9435515988407849, 0.9747715167639563, 0.9912171520619049, 0.9235485024372978, 0.9516578671995352, 0.9586215780731571, 0.9503509771329284, 0.9466419835237054, 0.9754732120955943]",
hotel_14,"[np.float64(0.5188679245283019), np.float64(0.5188679245283019), np.float64(0.5188679245283019), np.float64(0.5188679245283019), np.float64(0.5188679245283019), np.float64(0.5188679245283019), np.float64(0.5188679245283019), np.float64(0.5188679245283019), np.float64(0.5188679245283019), np.float64(0.5188679245283019), np.float64(0.5188679245283019), np.float64(0.5188679245283019), np.float64(0.5188679245283019), np.float64(0.5188679245283019), np.float64(0.5188679245283019), np.float64(0.5188679245283019), np.float64(0.5188679245283019), np.float64(0.5188679245283019), np.float64(0.5188679245283019), np.float64(0.5188679245283019), np.float64(0.5188679245283019), np.float64(0.5188679245283019), np.float64(0.5188679245283019), np.float64(0.5188679245283019), np.float64(0.5188679245283019), np.float64(0.5188679245283019), np.float64(0.5188679245283019), np.float64(0.5188679245283019)]","[np.float64(0.6132075471698113), np.float64(0.5660377358490566), np.float64(0.5943396226415094), np.float64(0.5377358490566038), np.float64(0.5566037735849056), np.float64(0.7641509433962265), np.float64(0.5188679245283019), np.float64(0.6132075471698113), np.float64(0.5660377358490566), np.float64(0.5943396226415094), np.float64(0.5377358490566038), np.float64(0.5566037735849056), np.float64(0.7641509433962265), np.float64(0.5188679245283019), np.float64(0.6132075471698113), np.float64(0.5660377358490566), np.float64(0.5943396226415094), np.float64(0.5377358490566038), np.float64(0.5566037735849056), np.float64(0.7641509433962265), np.float64(0.5188679245283019), np.float64(0.6132075471698113), np.float64(0.5660377358490566), np.float64(0.5943396226415094), np.float64(0.5377358490566038), np.float64(0.5566037735849056), np.float64(0.7641509433962265), np.float64(0.5188679245283019), np.float64(0.6132075471698113), np.float64(0.5660377358490566), np.float64(0.5943396226415094), np.float64(0.5377358490566038), np.float64(0.5566037735849056), np.float64(0.7641509433962265), np.float64(0.5188679245283019)]","[0.6313797479282144, 0.41167666920525214, 0.5110935090828267, 0.593173474116865, 0.6153958626365212, 0.5718531901748021, 0.5999353587828535, 0.6313797479282144, 0.41167666920525214, 0.5110935090828267, 0.593173474116865, 0.6153958626365212, 0.5718531901748021, 0.5999353587828535, 0.6313797479282144, 0.41167666920525214, 0.5110935090828267, 0.593173474116865, 0.6153958626365212, 0.5718531901748021, 0.5999353587828535, 0.6313797479282144, 0.41167666920525214, 0.5110935090828267, 0.593173474116865, 0.6153958626365212, 0.5718531901748021, 0.5999353587828535]","[0.5506045370049126, 0.5454823650301845, 0.5741431703974563, 0.5790333705132762, 0.6270813982858455, 0.6902843303015295, 0.5957766217075479, 0.6053388781608289, 0.5759170988878252, 0.59070229722374, 0.6005911024726586, 0.6085932636452557, 0.6767668831276334, 0.6027352781661658, 0.5991304948323667, 0.5806418350092246, 0.6124836755580405, 0.6042075787686199, 0.6123209946038692, 0.673166715928207, 0.6093940215150407, 0.6034801700961943, 0.6073931400862754, 0.6127157854098425, 0.6044436181749044, 0.6270291488383045, 0.6573742014921696, 0.6070353875583183]",
hotel_21,"[np.float64(0.9074074074074074), np.float64(0.9074074074074074), np.float64(0.9074074074074074), np.float64(0.9074074074074074), np.float64(0.9074074074074074), np.float64(0.9074074074074074), np.float64(0.9074074074074074), np.float64(0.9074074074074074), np.float64(0.9074074074074074), np.float64(0.9074074074074074), np.float64(0.9074074074074074), np.float64(0.9074074074074074), np.float64(0.9074074074074074), np.float64(0.9074074074074074), np.float64(0.9074074074074074), np.float64(0.9074074074074074), np.float64(0.9074074074074074), np.float64(0.9074074074074074), np.float64(0.9074074074074074), np.float64(0.9074074074074074), np.float64(0.9074074074074074), np.float64(0.9074074074074074), np.float64(0.9074074074074074), np.float64(0.9074074074074074), np.float64(0.9074074074074074), np.float64(0.9074074074074074), np.float64(0.9074074074074074), np.float64(0.9074074074074074)]","[np.float64(1.0), np.float64(0.9166666666666666), np.float64(0.9861111111111112), np.float64(1.0), np.float64(0.9953703703703703), np.float64(0.9907407407407407), np.float64(0.9074074074074074), np.float64(1.0), np.float64(0.9166666666666666), np.float64(0.9861111111111112), np.float64(1.0), np.float64(0.9953703703703703), np.float64(0.9907407407407407), np.float64(0.9074074074074074), np.float64(1.0), np.float64(0.9166666666666666), np.float64(0.9861111111111112), np.float64(1.0), np.float64(0.9953703703703703), np.float64(0.9907407407407407), np.float64(0.9074074074074074), np.float64(1.0), np.float64(0.9166666666666666), np.float64(0.9861111111111112), np.float64(1.0), np.float64(0.9953703703703703), np.float64(0.9907407407407407), np.float64(0.9074074074074074), np.float64(1.0), np.float64(0.9166666666666666), np.float64(0.9861111111111112), np.float64(1.0), np.float64(0.9953703703703703), np.float64(0.9907407407407407), np.float64(0.9074074074074074)]","[0.9374724566382746, 0.8925108438409023, 0.8990211303789145, 0.918408758492784, 0.9304247578312299, 0.9322109167784918, 0.919860566496805, 0.9374724566382746, 0.8925108438409023, 0.8990211303789145, 0.918408758492784, 0.9304247578312299, 0.9322109167784918, 0.919860566496805, 0.9374724566382746, 0.8925108438409023, 0.8990211303789145, 0.918408758492784, 0.9304247578312299, 0.9322109167784918, 0.919860566496805, 0.9374724566382746, 0.8925108438409023, 0.8990211303789145, 0.918408758492784, 0.9304247578312299, 0.9322109167784918, 0.919860566496805]","[0.9279539564813695, 0.924042332493099, 0.9400076670316554, 0.9473052982521817, 0.9507103084653015, 0.9537119537265648, 0.9429613982068581, 0.9537524529874881, 0.9463063337921742, 0.9561303928293887, 0.9601939653142919, 0.9605827402645649, 0.9607639608488331, 0.9498018800156507, 0.9527077649948608, 0.9537645387073107, 0.9556047030264195, 0.9559999344983703, 0.9572167856583695, 0.9572651186154534, 0.9581098781286833, 0.9579848185710723, 0.9586011147536118, 0.9583973812618565, 0.9588681720226446, 0.9586366161434356, 0.9590105427183914, 0.9587776928525416]",
hotel_28,"[np.float64(0.6083333333333333), np.float64(0.6083333333333333), np.float64(0.6083333333333333), np.float64(0.6083333333333333), np.float64(0.6083333333333333), np.float64(0.6083333333333333), np.float64(0.6083333333333333), np.float64(0.6083333333333333), np.float64(0.6083333333333333), np.float64(0.6083333333333333), np.float64(0.6083333333333333), np.float64(0.6083333333333333), np.float64(0.6083333333333333), np.float64(0.6083333333333333), np.float64(0.6083333333333333), np.float64(0.6083333333333333), np.float64(0.6083333333333333), np.float64(0.6083333333333333), np.float64(0.6083333333333333), np.float64(0.6083333333333333), np.float64(0.6083333333333333), np.float64(0.6083333333333333), np.float64(0.6083333333333333), np.float64(0.6083333333333333), np.float64(0.6083333333333333), np.float64(0.6083333333333333), np.float64(0.6083333333333333), np.float64(0.6083333333333333)]","[np.float64(0.008333333333333333), np.float64(0.008333333333333333), np.float64(0.008333333333333333), np.float64(0.008333333333333333), np.float64(0.13333333333333333), np.float64(0.4166666666666667), np.float64(0.6083333333333333), np.float64(0.008333333333333333), np.float64(0.008333333333333333), np.float64(0.008333333333333333), np.float64(0.008333333333333333), np.float64(0.13333333333333333), np.float64(0.4166666666666667), np.float64(0.6083333333333333), np.float64(0.008333333333333333), np.float64(0.008333333333333333), np.float64(0.008333333333333333), np.float64(0.008333333333333333), np.float64(0.13333333333333333), np.float64(0.4166666666666667), np.float64(0.6083333333333333), np.float64(0.008333333333333333), np.float64(0.008333333333333333), np.float64(0.008333333333333333), np.float64(0.008333333333333333), np.float64(0.13333333333333333), np.float64(0.4166666666666667), np.float64(0.6083333333333333), np.float64(0.008333333333333333), np.float64(0.008333333333333333), np.float64(0.008333333333333333), np.float64(0.008333333333333333), np.float64(0.13333333333333333), np.float64(0.4166666666666667), np.float64(0.6083333333333333)]","[0.45199125065461343, 0.45545059670535654, 0.45785080226028074, 0.45833833177651623, 0.46876029319256635, 0.4870731932971186, 0.4855707064349663, 0.45199125065461343, 0.45545059670535654, 0.45785080226028074, 0.45833833177651623, 0.46876029319256635, 0.4870731932971186, 0.4855707064349663, 0.45199125065461343, 0.45545059670535654, 0.45785080226028074, 0.45833833177651623, 0.46876029319256635, 0.4870731932971186, 0.4855707064349663, 0.45199125065461343, 0.45545059670535654, 0.45785080226028074, 0.45833833177651623, 0.46876029319256635, 0.4870731932971186, 0.4855707064349663]","[0.42155823011429544, 0.2946640323508257, 0.22661964724055847, 0.15960648371738273, 0.1515273842044042, 0.18719617204363614, 0.21617806804712825, 0.20598218606629887, 0.19963726713529178, 0.19577076770013527, 0.1902587108587492, 0.21254937342988725, 0.26771379612225427, 0.305784491585419, 0.27043225812483024, 0.24581591262315775, 0.232625415119576, 0.22006558842341353, 0.23703857598505138, 0.28549057990735716, 0.31959047703503524, 0.29071091063042465, 0.2706221256335282, 0.25975719567016403, 0.24912618650300905, 0.26500429833350864, 0.3095181220895752, 0.3407657341522771]",
hotel_35,"[np.float64(0.6953125), np.float64(0.6953125), np.float64(0.6953125), np.float64(0.6953125), np.float64(0.6953125), np.float64(0.6953125), np.float64(0.6953125), np.float64(0.6953125), np.float64(0.6953125), np.float64(0.6953125), np.float64(0.6953125), np.float64(0.6953125), np.float64(0.6953125), np.float64(0.6953125), np.float64(0.6953125), np.float64(0.6953125), np.float64(0.6953125), np.float64(0.6953125), np.float64(0.6953125), np.float64(0.6953125), np.float64(0.6953125), np.float64(0.6953125), np.float64(0.6953125), np.float64(0.6953125), np.float64(0.6953125), np.float64(0.6953125), np.float64(0.6953125), np.float64(0.6953125)]","[np.float64(0.72265625), np.float64(0.7421875), np.float64(0.8359375), np.float64(0.919921875), np.float64(0.89453125), np.float64(0.8046875), np.float64(0.6953125), np.float64(0.72265625), np.float64(0.7421875), np.float64(0.8359375), np.float64(0.919921875), np.float64(0.89453125), np.float64(0.8046875), np.float64(0.6953125), np.float64(0.72265625), np.float64(0.7421875), np.float64(0.8359375), np.float64(0.919921875), np.float64(0.89453125), np.float64(0.8046875), np.float64(0.6953125), np.float64(0.72265625), np.float64(0.7421875), np.float64(0.8359375), np.float64(0.919921875), np.float64(0.89453125), np.float64(0.8046875), np.float64(0.6953125), np.float64(0.72265625), np.float64(0.7421875), np.float64(0.8359375), np.float64(0.919921875), np.float64(0.89453125), np.float64(0.8046875), np.float64(0.6953125)]","[0.6292694250088536, 0.6360961863349548, 0.7007579328410402, 0.7310379917733547, 0.7399312751356641, 0.7354116134287024, 0.689404874603085, 0.6292694250088536, 0.6360961863349548, 0.7007579328410402, 0.7310379917733547, 0.7399312751356641, 0.7354116134287024, 0.689404874603085, 0.6292694250088536, 0.6360961863349548, 0.7007579328410402, 0.7310379917733547, 0.7399312751356641, 0.7354116134287024, 0.689404874603085, 0.6292694250088536, 0.6360961863349548, 0.7007579328410402, 0.7310379917733547, 0.7399312751356641, 0.7354116134287024, 0.689404874603085]","[0.652510720739337, 0.668938409153805, 0.7484180134795377, 0.7678017323907161, 0.7497543349341904, 0.7388200260748604, 0.7258436859595224, 0.6988311235835566, 0.7177949363964718, 0.7701346790939754, 0.7738902790373624, 0.7549771524515233, 0.7525494191696215, 0.7451950854177093, 0.7184773148862983, 0.7206680820917659, 0.7588107020664612, 0.7647772811795438, 0.7595555652391945, 0.7667194356660492, 0.758412093740782, 0.7240714633875419, 0.7202544098382533, 0.7582583844406792, 0.7712798953106039, 0.7708391359923195, 0.77504256632342, 0.7612338927694539]",
hotel_42,"[np.float64(0.7611336032388664), np.float64(0.7611336032388664), np.float64(0.7611336032388664), np.float64(0.7611336032388664), np.float64(0.7611336032388664), np.float64(0.7611336032388664), np.float64(0.7611336032388664), np.float64(0.7611336032388664), np.float64(0.7611336032388664), np.float64(0.7611336032388664), np.float64(0.7611336032388664), np.float64(0.7611336032388664), np.float64(0.7611336032388664), np.float64(0.7611336032388664), np.float64(0.7611336032388664), np.float64(0.7611336032388664), np.float64(0.7611336032388664), np.float64(0.7611336032388664), np.float64(0.7611336032388664), np.float64(0.7611336032388664), np.float64(0.7611336032388664), np.float64(0.7611336032388664), np.float64(0.7611336032388664), np.float64(0.7611336032388664), np.float64(0.7611336032388664), np.float64(0.7611336032388664), np.float64(0.7611336032388664), np.float64(0.7611336032388664)]","[np.float64(0.902834008097166), np.float64(0.38461538461538464), np.float64(0.7246963562753036), np.float64(0.97165991902834), np.float64(0.8947368421052632), np.float64(0.7732793522267206), np.float64(0.7611336032388664), np.float64(0.902834008097166), np.float64(0.38461538461538464), np.float64(0.7246963562753036), np.float64(0.97165991902834), np.float64(0.8947368421052632), np.float64(0.7732793522267206), np.float64(0.7611336032388664), np.float64(0.902834008097166), np.float64(0.38461538461538464), np.float64(0.7246963562753036), np.float64(0.97165991902834), np.float64(0.8947368421052632), np.float64(0.7732793522267206), np.float64(0.7611336032388664), np.float64(0.902834008097166), np.float64(0.38461538461538464), np.float64(0.7246963562753036), np.float64(0.97165991902834), np.float64(0.8947368421052632), np.float64(0.7732793522267206), np.float64(0.7611336032388664), np.float64(0.902834008097166), np.float64(0.38461538461538464), np.float64(0.7246963562753036), np.float64(0.97165991902834), np.float64(0.8947368421052632), np.float64(0.7732793522267206), np.float64(0.7611336032388664)]","[0.9032813225244133, 0.5510395344140244, 0.6371076666006144, 0.7508310356294376, 0.729934100857925, 0.7286381490529169, 0.7949672543119111, 0.9032813225244133, 0.5510395344140244, 0.6371076666006144, 0.7508310356294376, 0.729934100857925, 0.7286381490529169, 0.7949672543119111, 0.9032813225244133, 0.5510395344140244, 0.6371076666006144, 0.7508310356294376, 0.729934100857925, 0.7286381490529169, 0.7949672543119111, 0.9032813225244133, 0.5510395344140244, 0.6371076666006144, 0.7508310356294376, 0.729934100857925, 0.7286381490529169, 0.7949672543119111]","[0.7751276091367173, 0.5139804523067291, 0.6189805510215284, 0.7244850381851082, 0.779950505949751, 0.7096348822380882, 0.7367781583186492, 0.7427227305156219, 0.557609406428709, 0.6653602842284242, 0.7496561887446311, 0.7416572027452681, 0.6963900774589553, 0.6989275351143955, 0.7036971634129743, 0.5993552502907592, 0.6481961784790974, 0.6923163898267846, 0.7046972137544588, 0.6775483303242341, 0.6849408373263632, 0.6874309000490751, 0.6190237868855434, 0.6563835511144954, 0.6868327515364225, 0.6873680112624317, 0.6703022807844596, 0.6724724216994006]",
