hotel,fold,Naive_ME,Naive_MAE,Naive_RMSE,Naive_MAPE,Seasonal_ME,Seasonal_MAE,Seasonal_RMSE,Seasonal_MAPE,ETS_ME,ETS_MAE,ETS_RMSE,ETS_MAPE,ARIMA_ME,ARIMA_MAE,ARIMA_RMSE,ARIMA_MAPE
hotel_0,3.0,-0.07043820377153706,0.26406186406186405,0.3296443344779309,0.42943840764958463,-0.10006783340116673,0.27420974087640754,0.3383251903794228,0.46200949258550217,0.016016294138903153,0.22350010258041006,0.2687475788081336,0.3483970983318991,-0.05388779827847294,0.2478969628699156,0.29023530550739496,0.3677286252560862
hotel_105,3.0,-0.04058331605501416,0.20048379293662313,0.23430060618802315,0.29955244834335687,-0.04184117769023429,0.1507637017070979,0.1880614913741778,0.2249511861532399,0.016041712615523014,0.21157884875495653,0.24767058994873695,0.2989261598424339,-0.08037316455887226,0.1834749006412025,0.22079791354622552,0.28151118292491367
hotel_112,3.0,0.10678571428571426,0.1793956043956044,0.20610213399521324,0.2075085962293833,0.08053571428571428,0.1380357142857143,0.15941718441540131,0.15949145946162518,0.018932417218568025,0.11324691031526868,0.13762279767230431,0.13687743018076126,0.006825310594910705,0.10385344145548914,0.12663853810536857,0.12745022404510833
hotel_126,3.0,-0.041548093340922035,0.0516001926360492,0.09493379895708612,0.06777213806362592,-0.026408651109846325,0.053868044306291316,0.08980345437024384,0.06814460511016032,0.00748743776778753,0.07352312289751453,0.10128470621623809,0.08629751203285481,-0.022565769019380046,0.05641953392141737,0.09117256087358369,0.07139048425356592
hotel_133,3.0,-0.12646370023419204,0.14116375427850839,0.18402189397827343,0.21661238712189804,-0.08711943793911006,0.14491082687803997,0.18575644438786074,0.20890743952868082,-0.06214558744369629,0.1100080488200776,0.14248881619248874,0.1667157186252861,-0.10897721630895921,0.16138173571625242,0.19394096081409493,0.2312859454376594
hotel_14,3.0,-0.04068007464233877,0.12266224341696041,0.15150138398892946,0.1919112864855442,-0.12369894256686709,0.17677793904209,0.21236728183958625,0.2789153948327722,0.009370531892158345,0.11358548854675272,0.13620714238245196,0.16456876037407892,-0.00026471219325537173,0.11432042045216868,0.13931127692448117,0.1737317897187888
hotel_21,3.0,0.06604599104599104,0.11985144485144486,0.14950760099194468,0.14155719447688803,0.005860805860805873,0.07446072446072445,0.10230890235812287,0.09027517890749333,0.06348053080879773,0.12092950311097628,0.14835560498500305,0.1426664829966402,0.07687767504791113,0.12703468729723338,0.15406690579667517,0.1479750371476153
hotel_28,3.0,-0.0577106227106227,0.13181318681318682,0.17728821843643044,inf,-0.20437728937728936,0.21554945054945054,0.25468695649309214,inf,-0.011951094038032064,0.13490199131969668,0.18012970754679908,inf,-0.047176704608947614,0.1747292804676122,0.20637454211879896,inf
hotel_35,3.0,0.041565075549450554,0.17066878434065935,0.20496853244956403,0.7521874883501065,-0.04437242445054945,0.14232915521978023,0.1707979470719932,0.8198729748081638,-0.039579588974046995,0.2573107047873192,0.3111784501197487,1.0771598330718686,0.04608726429356101,0.16436614634798033,0.19994909241310846,0.6841291140051766
hotel_42,3.0,-0.006878142100814166,0.279832717889398,0.3311260009320076,0.5864653668119589,-0.16153401254615832,0.33180584597588647,0.4086380677431622,0.7487932121046768,0.03593187624628735,0.23200689020918416,0.27269340603670933,0.4625427397609343,-0.053692242255472554,0.2169482864447021,0.25978633008596413,0.5202798659376162
hotel_49,3.0,-0.08380440520178513,0.1058208167378473,0.13548391332362816,0.14625318489981537,-0.09428475454676324,0.10228897739814768,0.13531297465434391,0.1428126158870942,-0.03817553055277233,0.08816175949562191,0.11149069070396429,0.11817291124072629,-0.05022461198203293,0.10611554615058343,0.13140373885778384,0.1422439899028221
hotel_56,3.0,0.00503663003663003,0.09177655677655679,0.12692628711368006,0.11047592693824404,-0.0582967032967033,0.06866300366300367,0.11746716478929846,0.09282098274300976,0.011205405679518356,0.08718550292519442,0.1092846886921254,0.10312020654989959,0.0018307128269835341,0.08368513168639685,0.1119119874766595,0.10275939050447672
hotel_63,3.0,-0.09741636141636142,0.17794383394383395,0.22001990596151172,0.3094986680829611,-0.15074969474969474,0.1997069597069597,0.2503425310909942,0.3563408426465394,0.027392675897908003,0.14103116972573043,0.1751729583521513,0.2170299190566339,-0.005737766786333469,0.15925952675049274,0.19480450603685048,0.25873336648460604
hotel_7,3.0,-0.01860614955077495,0.13382252926226867,0.15653548883897125,0.33535569543547983,-0.002970970397680517,0.137967569889394,0.16607990968948566,0.38617708669756257,0.06441084590657296,0.12911607785568355,0.15607095407126453,0.2818373318851707,0.04101164928178276,0.12789671141643902,0.15500083286990457,0.30304576102403064
hotel_70,3.0,-0.024503566608829762,0.1348370927318296,0.17362914217198896,0.29636805197550803,-0.1771351455561981,0.22762675920570655,0.26458896827222045,0.5784640057894402,0.05942064549623639,0.13233781200776082,0.1688649417199139,0.25206145392802093,-0.0659898934798114,0.14761731580491833,0.18350270339857966,0.3617080376484638
hotel_77,3.0,0.0019177997718373262,0.003817099867418987,0.006421607517106659,inf,0.0015663059229796814,0.004464588536367281,0.007015515173885494,inf,0.03089571039685614,0.033076336779919176,0.03987764644024485,inf,0.036833444003322904,0.0386658371781166,0.044125675252648475,inf
hotel_84,3.0,0.018776379330012555,0.1577018137571771,0.1996397157578029,1.2775508893910477,-0.09610251340355147,0.2045781208410966,0.25423818579102575,1.327245918256344,0.07987535333130344,0.21645655310277193,0.2561856334280904,1.3898745629790343,-0.040141284944437715,0.2548834667729355,0.3005784457114785,1.4856704501545024
hotel_91,3.0,4.9388813433753896e-05,0.19725892085442648,0.2313342846706689,0.318823008334611,0.044993209038152834,0.2764785776021731,0.3178037963733426,0.4287094058752142,0.0031985978724883624,0.21545358801627748,0.2532202440956315,0.31519755816723666,-0.008302476516539925,0.20863913589176394,0.24662257621725744,0.3300835176530688
hotel_98,3.0,-0.10170152428216946,0.1848280751506558,0.21713783551487786,inf,-0.12266926621765328,0.21487061325771,0.24343846953680068,inf,-0.011871477988565825,0.14609474106071882,0.19086379062598363,inf,-0.05653012513443645,0.1563265564015228,0.19220440896556643,inf
